source,fixture_id,market,selection,prediction_timestamp,kickoff_timestamp,dixon_coles_probability,market_fair_probability,edge,raw_ev,odds,league_id,home_ft_count,away_ft_count,used_default_lambda,home_lambda,away_lambda,feature_quality,hours_to_kickoff,old_confidence,outcome,daily_pick_id
botposlednji1,1499958,match_winner,Draw,2026-06-27 08:47:34.655600,2026-06-27 16:00:00,0.6177662769962309,0.22930348123976285,0.388462795756468,0.5,2.8,132,11,12,False,,,0.35,7.2070401111111115,0.5,lose,11
botposlednji1,1554049,match_winner,Away,2026-06-27 09:10:59.412249,2026-06-27 21:00:00,0.0777384004580744,0.06140979925494685,0.016328601203127548,0.12720680664207884,14.5,76,11,11,False,,,0.35,11.816829930833332,0.8995163002884459,lose,13
botposlednji1,1553749,match_winner,Draw,2026-06-27 09:48:55.667009,2026-06-27 17:30:00,0.3715965879117438,0.21735137780023514,0.15424521011150868,0.11478976373523153,3.0,76,11,11,False,,,0.35,7.684536941944444,0.14286504076939255,win,18
botposlednji1,1554058,match_winner,Draw,2026-06-27 09:48:55.667009,2026-06-27 19:00:00,0.37988595288201366,0.2330493154444066,0.14683663743760705,0.11116641217988987,2.925,76,11,11,False,,,0.35,9.184536941944446,0.1535220288557405,lose,19
botposlednji1,1553753,match_winner,Draw,2026-06-27 09:48:55.667009,2026-06-27 21:30:00,0.3930391759096787,0.24572779432766195,0.14731138158201673,0.1005096925471003,2.8,76,11,11,False,,,0.35,11.684536941944446,0.18378063001598877,lose,20
botposlednji1,1499964,match_winner,Draw,2026-06-27 09:48:55.667009,2026-06-27 16:00:00,0.3790527604731093,0.22396677151979194,0.15508598895331738,0.09925300537201709,2.9,132,11,13,False,,,0.35,6.184536941944444,0.16301231792436377,lose,21
botposlednji1,1499955,match_winner,Draw,2026-06-27 09:48:55.667009,2026-06-27 18:00:00,0.3690721826016086,0.20741263339096888,0.16165954921063974,0.0979897432397856,2.975,132,11,12,False,,,0.35,8.184536941944444,0.1480985764616224,win,22
botposlednji1,1553761,match_winner,Draw,2026-06-27 09:48:55.667009,2026-06-27 18:00:00,0.3876864696066077,0.234823866728127,0.1528626028784807,0.09521427663866677,2.825,76,11,11,False,,,0.35,8.184536941944444,0.17830726664286134,win,23
botposlednji1,1554051,over_under,Under 2.5,2026-06-27 09:55:44.707248,2026-06-27 20:00:00,0.5446638961814183,0.3965759353771409,0.14808796080427739,0.062094597553765674,1.95,76,11,11,False,,,0.35,10.070914653333334,0.13911185987305652,win,26
botposlednji1,1553759,over_under,Under 2.5,2026-06-27 20:46:08.688927,2026-06-27 21:00:00,0.626906508391393,0.46677667416549073,0.1601298342259022,-0.01575678182551299,1.57,76,11,11,False,,,0.35,0.2309197425,0.3446678914548913,win,27
